"","aged","bwtr14"
"456",7,2
"457",10,2
"458",2,1
"459",0,1
"460",56,9
"461",0,5
"462",104,7
"463",0,1
"464",0,1
"465",0,1
"466",11,2
"467",6,2
"468",8,5
"469",0,1
"470",10,8
"471",5,6
"472",4,9
"473",16,2
"474",0,5
"475",317,3
"476",2,2
"477",0,3
"478",136,2
"479",0,3
"480",15,7
"481",45,2
"482",67,6
"483",2,6
"484",0,5
"485",3,9
"486",3,2
"487",12,2
"488",38,9
"489",36,9
"490",9,9
"491",112,10
"492",50,8
"493",23,1
"494",20,9
"495",0,1
"496",0,6
"497",0,1
"498",0,1
"499",0,1
"500",44,2
"501",0,2
"502",157,9
"503",215,9
"504",4,8
"505",0,5
"506",0,1
"507",24,4
"508",78,9
"509",0,1
"510",0,7
"511",9,10
"512",2,8
"513",1,6
"514",0,6
"515",265,10
"516",256,8
"517",46,7
"518",13,2
"519",8,1
"520",236,3
"521",137,9
"522",169,9
"523",9,10
"524",66,9
"525",6,3
"526",160,10
"527",0,1
"528",0,1
"529",2,6
"530",0,8
"531",26,2
"532",64,9
"533",126,4
"534",186,9
"535",242,8
"536",48,9
"537",0,1
"538",54,9
"539",0,7
"540",85,8
"541",0,4
"542",196,3
"543",26,9
"544",103,10
"545",22,2
"546",51,9
"547",363,8
"548",2,2
"549",3,2
"550",1,6
"551",0,1
"552",2,7
"553",30,7
"554",0,6
"555",0,4
"556",186,10
"557",0,14
"558",15,8
"559",26,3
"560",133,9
"561",4,2
"562",8,2
"563",0,2
"564",0,3
"565",18,6
"566",115,10
"567",0,1
"568",324,8
"569",0,7
"570",4,8
"571",0,8
"572",55,7
"573",150,8
"574",0,1
"575",32,7
"576",0,9
"577",0,2
"578",0,2
"579",0,2
"580",0,3
"581",32,7
"582",0,1
"583",282,11
"584",0,8
"585",2,4
"586",0,1
"587",0,2
"588",0,1
"589",0,1
"590",90,8
"591",0,1
"592",0,9
"593",0,9
"594",0,1
"595",0,1
"596",108,10
"597",151,8
"598",0,1
"599",0,1
"600",0,8
"601",2,2
"602",103,9
"603",63,8
"604",0,3
"605",0,1
"606",2,6
"607",110,10
"608",0,6
"609",1,2
"610",0,1
"611",65,8
"612",2,7
"613",0,1
"614",144,8
"615",32,6
"616",3,9
"617",64,4
"618",3,8
"619",25,2
"620",0,10
"621",2,7
"622",127,9
"623",55,9
"624",88,8
"625",35,6
"626",15,9
"627",18,3
"628",12,5
"629",12,2
"630",219,8
"631",184,7
"632",70,5
"633",0,5
"634",68,7
"635",11,8
"636",0,2
"637",0,6
"638",0,6
"639",143,7
"640",62,10
"641",2,2
"642",23,3
"643",57,6
"644",0,14
"645",65,9
"646",0,1
"647",140,3
"648",4,9
"649",10,2
"650",0,2
"651",6,6
"652",5,7
"653",0,1
"654",7,7
"655",172,11
"656",98,8
"657",0,1
"658",0,2
"659",143,8
"660",0,2
"661",0,14
"662",0,3
"663",0,2
"664",0,1
"665",123,9
"666",4,2
"667",103,7
"668",10,9
"669",0,8
"670",28,6
"671",5,9
"672",0,2
"673",26,9
"674",311,8
"675",48,7
"676",43,10
"677",4,3
"678",40,5
"679",0,2
"680",96,5
"681",0,2
"682",1,2
"683",0,2
"684",0,2
"685",9,8
"686",0,9
"687",0,5
"688",180,9
"689",0,1
"690",0,1
"691",6,7
"692",0,7
"693",159,6
"694",0,2
"695",0,1
"696",349,9
"697",101,8
"698",0,6
"699",0,1
"700",194,9
"701",0,2
"702",1,9
"703",0,1
"704",1,8
"705",198,10
"706",77,9
"707",0,2
"708",1,8
"709",0,1
"710",6,3
"711",83,3
"712",58,8
"713",0,1
"714",2,7
"715",6,6
"716",163,10
"717",0,14
"718",0,2
"719",0,1
"720",2,7
"721",0,1
"722",0,2
"723",0,1
"724",0,7
"725",0,7
"726",1,9
"727",0,1
"728",0,1
"729",210,12
"730",9,9
"731",4,7
"732",0,1
"733",13,7
"734",54,3
"735",0,2
"736",8,3
"737",11,2
"738",0,1
"739",255,10
"740",0,1
"741",151,10
"742",256,8
"743",0,3
"744",5,8
"745",0,1
"746",29,3
"747",8,5
"748",58,8
"749",308,8
"750",56,8
"751",260,10
"752",22,1
"753",0,2
"754",1,1
"755",247,9
"756",0,1
"757",0,1
"758",0,1
"759",0,14
"760",0,1
"761",0,1
"762",180,9
"763",0,1
"764",297,10
"765",28,9
"766",175,9
"767",0,1
"768",39,10
"769",76,9
"770",0,3
"771",0,2
"772",0,1
"773",0,1
"774",19,3
"775",5,7
"776",326,11
"777",0,4
"778",91,9
"779",86,9
"780",7,2
"781",258,2
"782",0,2
"783",90,8
"784",119,10
"785",3,3
"786",195,7
"787",299,6
"788",0,1
"789",0,1
"790",4,2
"791",51,6
"792",20,2
"793",33,1
"794",30,10
"795",2,2
"796",3,8
"797",146,8
"798",0,1
"799",1,3
"800",0,2
"801",0,1
"802",0,2
"803",29,2
"804",21,2
"805",0,6
"806",17,9
"807",0,2
"808",13,6
"809",0,5
"810",39,5
"811",0,5
"812",0,1
"813",1,9
"814",0,1
"815",0,2
"816",1,8
"817",24,3
"818",36,6
"819",278,9
"820",0,1
"821",33,9
"822",171,7
"823",0,2
"824",111,8
"825",157,2
"826",16,9
"827",189,2
"828",0,1
"829",62,10
"830",1,8
"831",0,1
"832",0,1
"833",0,2
"834",235,7
"835",12,10
"836",8,4
"837",3,7
"838",0,1
"839",103,10
"840",73,9
"841",2,6
"842",133,10
"843",0,1
"844",20,3
"845",0,1
"846",2,8
"847",251,10
"848",37,9
"849",5,6
"850",18,8
"851",8,2
"852",11,6
"853",1,6
"854",8,7
"855",0,3
"856",127,8
"857",0,14
"858",0,11
"859",101,10
"860",0,1
"861",64,6
"862",116,8
"863",162,9
"864",0,1
"865",18,9
"866",177,11
"867",82,9
"868",0,2
"869",0,2
"870",0,1
"871",12,4
"872",14,10
"873",115,10
"874",1,9
"875",6,4
"876",74,2
"877",3,5
"878",11,6
"879",1,7
"880",5,9
"881",0,1
"882",0,7
"883",0,1
"884",52,10
"885",150,8
"886",0,1
"887",1,8
"888",0,1
"889",17,10
"890",0,14
"891",357,2
"892",9,2
"893",118,8
"894",296,9
"895",75,9
"896",30,2
"897",0,1
"898",0,2
"899",0,1
"900",110,10
"901",0,1
"902",0,1
"903",2,2
"904",14,2
"905",9,2
"906",287,9
"907",48,7
"908",0,6
"909",0,1
"910",0,1
"911",112,8
"912",0,1
"913",84,7
"914",24,4
"915",245,8
"916",96,11
"917",0,2
"918",1,9
"919",7,7
"920",0,1
"921",154,6
"922",0,7
"923",2,2
"924",0,1
"925",0,8
"926",2,7
"927",251,8
"928",0,3
"929",100,10
"930",3,7
"931",0,9
"932",0,1
"933",100,10
"934",0,14
"935",2,5
"936",0,6
"937",0,1
"938",0,1
"939",0,10
"940",16,2
"941",353,9
"942",0,1
"943",114,9
"944",135,7
"945",0,2
"946",49,10
"947",51,10
"948",0,1
"949",0,7
"950",2,2
"951",10,8
"952",66,8
"953",6,6
"954",4,11
"955",163,9
"956",17,10
"957",94,9
"958",293,6
"959",0,9
"960",21,9
"961",270,8
"962",33,8
"963",0,2
"964",236,7
"965",0,7
"966",0,1
"967",0,1
"968",16,8
"969",0,1
"970",2,8
"971",22,1
"972",0,2
"973",0,2
"974",0,1
"975",76,9
"976",0,1
"977",0,4
"978",5,9
"979",12,5
"980",0,7
"981",51,9
"982",7,5
"983",8,9
"984",263,10
"985",6,9
"986",296,10
"987",0,1
"988",0,14
"989",0,2
"990",0,1
"991",9,8
"992",243,10
"993",2,7
"994",4,9
"995",0,1
"996",0,1
"997",0,1
"998",1,2
"999",24,7
"1000",0,1
"1001",0,3
"1002",124,8
"1003",26,4
"1004",19,2
"1005",120,4
"1006",1,1
"1007",59,8
"1008",0,7
"1009",286,9
"1010",0,8
"1011",5,10
"1012",153,7
"1013",0,1
"1014",0,6
"1015",155,7
"1016",13,2
"1017",112,8
"1018",3,10
"1019",0,1
"1020",97,8
"1021",0,8
"1022",0,6
"1023",68,8
"1024",0,6
"1025",0,1
"1026",105,5
"1027",10,2
"1028",0,2
"1029",0,9
"1030",28,3
"1031",162,3
"1032",8,9
"1033",4,3
"1034",8,7
"1035",185,8
"1036",0,1
"1037",26,6
"1038",5,6
"1039",52,7
"1040",279,6
"1041",24,7
"1042",0,1
"1043",70,9
"1044",226,9
"1045",62,2
"1046",38,7
"1047",0,1
"1048",0,1
"1049",120,7
